车牌,时间,温度,运单号
沪A12345,2025-06-20 05:00:00,-5.2,
沪A12345,2025-06-20 05:30:00,-2.1,
沪A12345,2025-06-20 06:00:00,1.8,
沪A12345,2025-06-20 06:30:00,3.2,YD20250620001
沪A12345,2025-06-20 07:00:00,2.3,YD20250620001
沪A12345,2025-06-20 07:30:00,1.5,YD20250620001
沪A12345,2025-06-20 08:00:00,0.8,YD20250620001
沪A12345,2025-06-20 08:30:00,2.0,YD20250620001
沪A12345,2025-06-20 09:00:00,3.2,YD20250620001
沪A12345,2025-06-20 09:15:00,3.6,YD20250620001
沪A12345,2025-06-20 09:30:00,4.5,
沪A12345,2025-06-20 10:00:00,6.8,YD20250620003
沪A12345,2025-06-20 10:30:00,7.5,YD20250620003
沪A12345,2025-06-20 11:00:00,8.5,YD20250620003
沪A12345,2025-06-20 11:30:00,10.0,YD20250620003
沪A12345,2025-06-20 12:00:00,10.8,YD20250620003
沪A12345,2025-06-20 12:30:00,11.5,YD20250620003
沪A12345,2025-06-20 13:00:00,12.2,YD20250620003
沪A12345,2025-06-20 13:30:00,13.0,YD20250620003
沪A12345,2025-06-21 05:30:00,-8.0,
沪A12345,2025-06-21 06:00:00,-3.0,
沪A12345,2025-06-21 06:45:00,1.5,YD20250621001
沪A12345,2025-06-21 07:30:00,2.5,YD20250621001
沪A12345,2025-06-21 08:15:00,3.2,YD20250621001
沪A12345,2025-06-21 09:00:00,4.0,YD20250621001
沪A12345,2025-06-21 09:20:00,4.3,YD20250621001
